flower,price
Alstroemeria,5
Amaryllis,20
Anemone,5
Anthurium,12
Aspidistra,2
Astilbe,6
Astrantia,6
Bambus,15
Berzelia,8
Boupleurum,5
Bouvardia,5
Bujor,15
Cale,12
Chamelaucium,10
Clematis,8
Cordyline,3
Craspedia,5
Crin,20
Crizantema,8
Delphinium,10
Elisianthus,8
Eryngium,8
Eucalipt,35
Eustoma,8
Floarea-soarelui,8
Frezia,5
Frunze,10
Garoafa,3
Garofite,3
Gerbera,6
Germini,4
Ginger,10
Gladiole,4
Greentick,6
Gypsophila,10
Hortensie,25
Hypericum,8
Iris,4
Lalea,5
Leucadendron,5
Leucospermum,10
Liliac,20
Limonium,5
Lisianthus,8
Mattiola,6
Minigerbera,4
Minirosa,10
Musetel,6
Narcisa,4
Nigella,8
Oxipetalum,7
Panicum,3
Philodendron,8
Pittosporum,5
Protea,10
Ranunculus,5
Ruscus,4
Santini,6
Scabiosa,5
Senecio,3
Solidago,6
Trachelium,6
Trandafir,10
Trandafir tros,10
Veronica,5
Viburnum,10
Wax,10
Zambila,8
